time_from_event_s,filtered_strain
0.04726553,-2.277810669110e-22
0.04799795,-3.747562480796e-23
0.04873037,1.138717537922e-22
0.0494628,1.458218689643e-22
0.05019522,7.583463754270e-23
0.05117178,-5.299574611605e-23
0.0519042,-1.098076722665e-22
0.05263662,-1.159774928401e-22
0.05336905,-6.859494487987e-23
0.05410147,2.558503778437e-23
0.05483389,1.311269152143e-22
0.05556631,1.919047496122e-22
0.05629873,1.767510050642e-22
0.05703115,1.134974924762e-22
0.05776358,6.311645928622e-23
0.058496,5.958147699118e-23
0.05922842,8.494816790805e-23
0.05996084,1.010567883556e-22
0.06069326,9.191708105924e-23
0.06166983,5.816131649468e-23
0.06240225,2.236817948991e-23
0.06313467,-3.782692301032e-23
0.06386709,-1.287450458470e-22
0.06459951,-2.219190649740e-22
0.06533194,-2.654759330630e-22
0.06606436,-2.319344674200e-22
0.06679678,-1.509936237276e-22
0.0675292,-8.301722570724e-23
0.06826162,-5.603554610137e-23
0.06899405,-3.862616405962e-23
0.06972647,1.362838637253e-23
0.07045889,9.301661108868e-23
0.07143545,1.390872374959e-22
0.07216787,8.781615027791e-23
0.0729003,1.157100121867e-23
0.07363272,-1.568780825344e-23
0.07436514,3.358191315018e-23
0.07509756,1.211246904386e-22
0.07582998,1.820494502961e-22
0.0765624,1.783121643254e-22
0.07729483,1.230463914349e-22
0.07802725,6.139787646723e-23
0.07875967,2.830683517041e-23
0.07949209,2.027328739713e-23
0.08022451,5.289006358607e-24
0.08095694,-3.989595057517e-23
0.0819335,-1.247099828280e-22
0.08266592,-1.632468791973e-22
0.08339834,-1.609339589688e-22
0.08413076,-1.358344725579e-22
0.08486319,-1.206729039613e-22
0.08559561,-1.270688966664e-22
0.08632803,-1.290336844099e-22
0.08706045,-8.967347481425e-23
0.08779287,-8.926545434364e-24
0.0885253,6.669984855880e-23
0.08925772,9.260483392204e-23
0.08999014,7.676327132347e-23
0.09072256,7.039941930199e-23
0.09145498,1.086887677632e-22
0.09243155,1.890527961085e-22
0.09316397,2.070347610237e-22
0.09389639,1.664840925733e-22
0.09462881,9.124108078275e-23
0.09536123,1.338381189441e-23
0.09609365,-5.789223543131e-23
0.09682608,-1.290985879830e-22
0.0975585,-1.893400910449e-22
0.09829092,-1.996241330831e-22
0.09902334,-1.313493931970e-22
0.09975576,-1.561435471626e-23
